"","type","var","round_val","n","mean","median","q25","q75","epoch"
"1","Start","Weekly cases per 100K",0,102,245,191,148,282,NA
"2","Start","Weekly hospital admissions per 100K",1,102,12.7,11.5,10.7,14.3,NA
"3","Start","Percentage of inpatient beds occupied by COVID-19 patients",1,102,6.3,5.9,5.1,7.3,NA
"4","Start","Weekly deaths per 100K 21 days after start",1,89,2,1.8,1.3,2.6,NA
"5","End","Weekly cases per 100K",0,88,197,156,134,207,NA
"6","End","Weekly hospital admissions per 100K",1,88,12.3,11.6,10.7,13.3,NA
"7","End","Percentage of inpatient beds occupied by COVID-19 patients",1,88,8.8,9.2,6.7,10.7,NA
"8","End","Weekly deaths per 100K 21 days after start",1,84,2.3,2,1.4,3,NA
"9",NA,NA,NA,52,1.9,1.7,1.3,2.3,"Per 1"
"10",NA,NA,NA,30,2.5,2.4,1.5,3.3,"Per 2"
"11",NA,NA,NA,7,1,1,0.8,1.2,"Per 3"
